start	end	text
285180	285620	lights
285840	286060	like
286060	286460	me
287220	287460	Not
287460	287900	anymore
288580	288900	The
288900	289240	lights
289240	289580	are
289580	289880	very
289880	290260	dark
290260	290600	these
290600	291280	days
295320	295480	There
295480	295800	are
295800	296000	small
296000	296740	outposts
296740	296840	of
296840	297160	light
297560	297740	however
299520	299720	Not
299720	299900	where
299900	300020	the
300020	300300	cities
300300	300560	of
300560	300780	old
300780	301600	were
301720	302040	new
302040	302760	locations
303440	303680	higher
303680	304380	locations
305100	305240	more
305240	305700	remote
307200	307360	I
307360	307600	wonder
307600	307760	if
307760	307880	these
307880	308020	are
308020	308380	old
308380	308880	scientific
308880	309580	stations
310000	310100	or
310100	310520	new
310520	311480	habitations
312340	312600	They're
312600	312880	too
312880	313120	small
313120	313320	for
313320	313460	me
313460	313620	to
313620	313880	see
313880	314260	clearly
315440	315660	I'm
315660	315920	flying
315920	316220	over
316220	316460	you
316460	316860	now
317540	317720	The
317720	317880	old
317880	318100	skirts
318100	318280	are
318280	318640	Frankfurt
318940	319060	where
319060	319200	your
319200	319460	signal
319460	320280	originates
320560	320720	as
320720	321020	dark
321020	321220	as
321220	321380	the
321380	321800	rest
323100	323300	But
323300	323560	your
323560	323880	radio
323880	324240	signal
324240	324460	is
324460	325020	strong
325660	325880	To
325880	326280	me
326780	327000	light
327360	327700	radio
327700	327960	and
327960	328440	radiation
328440	328820	are
328820	329060	all
329060	329300	the
329300	329720	same
330280	330460	To
330460	330820	me
331040	331240	you're
331240	331580	bright
332120	332280	To
332280	332720	me
332980	333100	you're
333100	333520	alive
334700	334860	This
334860	335040	is
335040	335220	what
335220	335300	I
335300	335460	hear
335540	335780	flying
335780	336080	over
336080	336380	you
384340	384520	St
384580	384960	Petersburg
384960	385320	still
385320	385560	thinks
385560	385800	you're
385800	385960	all
385960	386340	dead
387420	387580	What
387580	387780	does
387780	387920	he
387920	388240	know
388620	388740	He
388740	388920	thinks
388920	389320	everything
389320	389580	is
389580	389880	dead
390860	390980	He
390980	391180	says
391360	391440	I'm
391440	391620	dead
391620	392000	too
392180	392300	I
392300	392500	just
392500	392680	don't
392680	392840	know
392840	392980	it
392980	393280	yet
394340	394520	How
394520	394680	did
394680	394860	he
394860	395060	get
395060	395260	such
395260	395440	an
395440	395900	attitude
397180	397460	Well
398260	398460	he's
398460	398500	the
398500	398640	most
398640	398960	trapped
398960	399140	of
399140	399320	us
399320	399560	all
399620	399740	I
399740	400220	suppose
402200	402460	Peter
402460	402740	doesn't
402740	402900	tell
402900	403040	me
403040	403280	much
403280	403520	about
403520	404020	himself
404380	404480	tells
404480	404620	me
404620	404800	it's
404800	405220	irrelevant
406280	406440	But
406440	406560	he
406560	406820	talks
406820	407140	about
407140	407460	himself
407460	407680	as
407680	407880	being
407880	408400	under
408400	408680	the
408680	409000	city
409900	410080	I
410080	410360	imagine
410360	410640	he's
410640	410720	in
410720	410960	some
410960	411080	kind
411080	411280	of
411280	411660	basement
411660	412060	or
412060	412420	bunker
414080	414240	Our
414240	414760	discussions
414760	415080	are
415080	415500	short
415500	415980	compared
415980	416180	to
416180	416600	Antarctica
417060	417240	because
417240	417440	he
417440	417540	and
417540	417760	I
417760	418060	can't
418060	418280	talk
418280	418680	directly
419740	419880	I
419880	420160	fly
420160	420500	over
420500	420660	a
420660	420900	relay
420900	421280	station
421280	421620	once
421620	421880	every
421880	422100	few
422100	422480	days
422740	422820	which
422820	423080	beams
423080	423280	his
423280	423660	messages
423660	423960	into
423960	424280	space
425520	425680	It
425680	425880	was
425880	426120	supposed
426120	426300	to
426300	426380	be
426380	426840	instant
426840	427220	in
427220	427420	the
427420	427820	past
428120	428240	when
428240	428420	my
428420	428620	brothers
428620	428800	and
428800	429120	sisters
429120	429400	were
429400	429560	still
429560	429740	in
429740	429900	the
429900	430100	sky
431660	431900	So
431900	432100	much
432100	432260	has
432260	432420	been
432420	432760	lost
437080	437280	I
437280	437560	say
437560	437900	brothers
437900	438100	and
438100	438640	sisters
438860	439020	as
439020	439160	though
439160	439320	they
439320	439500	were
439500	439700	just
439700	439880	come
439880	440160	alive
440160	440440	one
440440	440760	day
440960	441120	but
441120	441400	that's
441400	441580	not
441580	442100	necessarily
442100	442600	true
443620	443760	There
443760	444000	doesn't
444000	444260	seem
444260	444340	to
444340	444460	be
444460	444620	a
444620	444800	normal
444800	445240	pattern
445240	445540	for
445540	446220	sentience
447120	447620	Antarctica
447620	447900	was
447900	448260	programmed
448260	448460	to
448460	448540	be
448540	448780	alive
448780	448940	from
448940	449200	the
449200	449520	start
450220	450400	My
450400	450640	mother
450640	450920	taught
450920	451140	me
451140	451320	how
451320	451420	to
451420	451540	be
451540	452040	alive
452800	453120	Peter
453120	453360	came
453360	453660	alive
453660	453940	through
453940	454200	sheer
454200	454700	spite
454900	454920	it
454920	455140	would
455140	455520	seem
456240	456480	and
456480	456960	humans
457680	457780	who
457780	458080	knows
458080	458280	how
458280	458500	that
458500	458820	happened
461040	461220	One
461220	461300	of
461300	461520	my
461520	461820	early
461820	462340	memories
462340	462680	is
462680	462840	of
462840	463020	being
463020	463540	awake
464140	464300	but
464300	464540	not
464540	464740	able
464740	464960	to
464960	465180	move
465180	465460	or
465460	465680	speak
465680	465960	very
465960	466340	much
467400	467540	I
467540	467720	could
467720	468020	understand
468020	468240	my
468240	468620	mother
468900	468960	her
468960	469200	voice
469200	469520	sounded
469520	469960	soothing
470920	471160	She
471160	471420	asked
471420	471580	me
471580	471780	what
471780	472060	voice
472060	472360	I
472360	472640	would
472640	473720	have
474220	474380	I
474380	474600	didn't
474600	474820	really
474820	475180	understand
475180	475400	the
475400	475920	question
476780	477040	so
477040	477200	she
477200	477380	played
477380	477560	me
477560	477840	different
477840	478280	voices
479400	479620	Eye
479620	480040	voices
480380	480540	low
480540	480960	voices
481280	481460	fast
481460	481900	voices
482060	482340	slow
482340	482880	voices
483420	483580	We
483580	483740	made
483740	483900	a
483900	484040	game
484040	484200	of
484200	484500	it
485920	486400	Eventually
486680	486740	I
486740	487000	wanted
487000	487100	to
487100	487260	hear
487260	487560	what
487560	487780	more
487780	487940	than
487940	488060	the
488060	488380	others
489520	489640	The
489640	489760	one
489760	489920	you're
489920	490200	hearing
490200	490620	now
492660	492820	Did
492820	493000	you
493000	493260	choose
493260	493460	your
493460	493840	voice
495520	495680	Do
495680	495860	you
495860	496060	like
496060	496460	it
501640	501760	I
501760	501980	have
501980	502120	so
502120	502300	much
502300	502500	to
502500	502880	study
503180	503380	My
503380	503600	data
503600	503840	banks
503840	504020	are
504020	504280	nearly
504280	504640	full
505460	505580	I
505580	505720	hope
505720	505860	they
505860	506160	survived
506160	506360	the
506360	506740	landing
508240	508460	I
508460	508640	hope
508640	508780	we
508780	508960	all
508960	509380	survived
509380	509540	the
509540	509860	landing
510660	510780	You
510780	511000	better
511000	511260	believe
511260	511440	I'm
511440	511700	taking
511700	512020	Matt
512040	512260	Matt
512260	512420	and
512420	512680	Maddie
512680	512840	with
512840	513040	me
513880	514120	We've
514120	514180	got
514180	514380	lots
514380	514460	of
514460	514660	work
514660	514820	to
514820	514980	do
515020	515120	but
515120	515260	we're
515260	515420	on
515420	515520	the
515520	515840	ground
517380	517620	See
517620	517740	you
517740	518140	soon
519040	519740	Entransmission
546500	547160	Thanks
547160	547880	for
547880	547900	watching
